symbol,start,end
AMAT,1/2/2015,10/14/2020
,,
,Date,Close
,1/2/2015 16:00,24.96
,1/5/2015 16:00,24.16
,1/6/2015 16:00,23.25
,1/7/2015 16:00,23.47
,1/8/2015 16:00,24.22
,1/9/2015 16:00,24.24
,1/12/2015 16:00,23.66
,1/13/2015 16:00,23.33
,1/14/2015 16:00,23.02
,1/15/2015 16:00,23.33
,1/16/2015 16:00,23.47
,1/20/2015 16:00,23.63
,1/21/2015 16:00,24.32
,1/22/2015 16:00,24.62
,1/23/2015 16:00,24.11
,1/26/2015 16:00,24.24
,1/27/2015 16:00,23.57
,1/28/2015 16:00,23.38
,1/29/2015 16:00,23.62
,1/30/2015 16:00,22.84
,2/2/2015 16:00,22.86
,2/3/2015 16:00,23.45
,2/4/2015 16:00,23.62
,2/5/2015 16:00,23.96
,2/6/2015 16:00,24.24
,2/9/2015 16:00,23.51
,2/10/2015 16:00,24.28
,2/11/2015 16:00,24.26
,2/12/2015 16:00,24.14
,2/13/2015 16:00,24.12
,2/17/2015 16:00,24.13
,2/18/2015 16:00,24.1
,2/19/2015 16:00,24.93
,2/20/2015 16:00,25.13
,2/23/2015 16:00,24.91
,2/24/2015 16:00,25.36
,2/25/2015 16:00,25.1
,2/26/2015 16:00,24.91
,2/27/2015 16:00,25.05
,3/2/2015 16:00,25.63
,3/3/2015 16:00,24.49
,3/4/2015 16:00,24.27
,3/5/2015 16:00,24.18
,3/6/2015 16:00,23.91
,3/9/2015 16:00,24.09
,3/10/2015 16:00,23.51
,3/11/2015 16:00,23.46
,3/12/2015 16:00,23.77
,3/13/2015 16:00,24.24
,3/16/2015 16:00,24.57
,3/17/2015 16:00,24.21
,3/18/2015 16:00,24.37
,3/19/2015 16:00,24.08
,3/20/2015 16:00,24.12
,3/23/2015 16:00,23.97
,3/24/2015 16:00,23.9
,3/25/2015 16:00,22.63
,3/26/2015 16:00,22.4
,3/27/2015 16:00,22.83
,3/30/2015 16:00,22.77
,3/31/2015 16:00,22.56
,4/1/2015 16:00,22.39
,4/2/2015 16:00,22.27
,4/6/2015 16:00,22.16
,4/7/2015 16:00,21.99
,4/8/2015 16:00,22.38
,4/9/2015 16:00,22.51
,4/10/2015 16:00,22.5
,4/13/2015 16:00,22.33
,4/14/2015 16:00,22.2
,4/15/2015 16:00,22.55
,4/16/2015 16:00,21.88
,4/17/2015 16:00,21.49
,4/20/2015 16:00,21.76
,4/21/2015 16:00,22.29
,4/22/2015 16:00,22.31
,4/23/2015 16:00,22.17
,4/24/2015 16:00,21.8
,4/27/2015 16:00,19.97
,4/28/2015 16:00,20.04
,4/29/2015 16:00,20.01
,4/30/2015 16:00,19.79
,5/1/2015 16:00,19.98
,5/4/2015 16:00,19.88
